Nombre;Descripcion;Precio_Euros;URL_Producto;URL_Imagen
Chocolate con Almendras La Cepedana 50% Cacao 200 gr;Chocolate con almendras con un porcentaje mínimo del 50% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta de 200 gr.;5.95;https://tienda.productostipicosregionales.es/chocolates/626-chocolate-con-almendras-la-cepedana-50-cacao-200-gr.html;https://tienda.productostipicosregionales.es/654-home_default/chocolate-con-almendras-la-cepedana-50-cacao-200-gr.jpg
Chocolate Extrafino con Leche La Cepedana 100 gr;Chocolate extrafino con leche con un porcentaje mínimo del 35% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta de 200 gr.;3.25;https://tienda.productostipicosregionales.es/chocolates/631-chocolate-extrafino-con-leche-la-cepedana-100-gr.html;https://tienda.productostipicosregionales.es/659-home_default/chocolate-extrafino-con-leche-la-cepedana-100-gr.jpg
Chocolate Extrafino con Leche y Almendras Palacio Episcopal La...;Chocolate extrafino con leche y almendras con un porcentaje mínimo del 25% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta con relieve del Palacio Episcopal de Astorga de 150 gr.;6.50;https://tienda.productostipicosregionales.es/chocolates/627-chocolate-extrafino-con-leche-y-almendras-palacio-episcopal-la-cepedana-150-gr.html;https://tienda.productostipicosregionales.es/655-home_default/chocolate-extrafino-con-leche-y-almendras-palacio-episcopal-la-cepedana-150-gr.jpg
Chocolate Extrafino con Leche y Avellanas La Cepedana 200 gr;Chocolate extrafino con leche y avellanas con un porcentaje mínimo del 25% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta de 200 gr.;5.95;https://tienda.productostipicosregionales.es/chocolates/624-chocolate-extrafino-con-leche-y-avellanas-la-cepedana-200-gr.html;https://tienda.productostipicosregionales.es/652-home_default/chocolate-extrafino-con-leche-y-avellanas-la-cepedana-200-gr.jpg
Chocolate Extrafino con Leche, Almendras y Pasas La Cepedana 200 gr;Chocolate extrafino con leche, almendras y pasas con un porcentaje mínimo del 25% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta de 200 gr.;5.95;https://tienda.productostipicosregionales.es/chocolates/625-chocolate-extrafino-con-leche-almendras-y-pasas-la-cepedana-200-gr.html;https://tienda.productostipicosregionales.es/653-home_default/chocolate-extrafino-con-leche-almendras-y-pasas-la-cepedana-200-gr.jpg
Chocolate Familiar a la Taza La Cepedana 300 gr;Chocolate familiar a la taza con un porcentaje MÍNIMO DEL 30% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta de 300 gr.;5.50;https://tienda.productostipicosregionales.es/chocolates/622-chocolate-familiar-a-la-taza-la-cepedana-300-gr.html;https://tienda.productostipicosregionales.es/1128-home_default/chocolate-familiar-a-la-taza-la-cepedana-300-gr.jpg
Chocolate Instantáneo La Cepedana 1000 gr;Chocolate instantáneo con un porcentaje mínimo del 25% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en bolsa de 1000 gr.;8.95;https://tienda.productostipicosregionales.es/chocolates/623-chocolate-instantaneo-la-cepedana-1000-gr.html;https://tienda.productostipicosregionales.es/651-home_default/chocolate-instantaneo-la-cepedana-1000-gr.jpg
Chocolate Negro con Almendras La Cepedana 80% Cacao 200 gr;Chocolate negro con almendras con un porcentaje mínimo del 80% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta de 200 gr.;5.95;https://tienda.productostipicosregionales.es/chocolates/629-chocolate-negro-con-almendras-la-cepedana-80-cacao-200-gr.html;https://tienda.productostipicosregionales.es/1127-home_default/chocolate-negro-con-almendras-la-cepedana-80-cacao-200-gr.jpg
Chocolate Negro con Almendras Palacio Episcopal La Cepedana 150 gr;Chocolate negro con almendras con un porcentaje mínimo del 25% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta con relieve del Palacio Episcopal de Astorga de 150 gr.;6.50;https://tienda.productostipicosregionales.es/chocolates/628-chocolate-negro-con-almendras-palacio-episcopal-la-cepedana-150-gr.html;https://tienda.productostipicosregionales.es/656-home_default/chocolate-negro-con-almendras-palacio-episcopal-la-cepedana-150-gr.jpg
Chocolate Negro con Avellanas La Cepedana 80% Cacao 200 gr;Chocolate negro con avellanas con un porcentaje mínimo del 80% de cacao. Artesanos del chocolate de Astorga desde 1903. Se presenta en tableta de 200 gr.;5.95;https://tienda.productostipicosregionales.es/chocolates/1289-chocolate-negro-con-avellanas-la-cepedana-80-cacao-200-gr.html;https://tienda.productostipicosregionales.es/2010-home_default/chocolate-negro-con-avellanas-la-cepedana-80-cacao-200-gr.jpg
